producto,categoria,marca
Producto_31,Deportes,HomePro
Producto_89,Muebles,NextGen
Producto_79,Tecnología,FitLife
Producto_62,Tecnología,HomePro
Producto_49,Deportes,HomePro
Producto_71,Hogar,ComfortPlus
Producto_85,Ropa,TechBrand
Producto_83,Hogar,Alpha
Producto_91,Hogar,Omega
Producto_94,Muebles,NextGen
Producto_67,Electrónica,TechBrand
Producto_54,Ropa,HomePro
Producto_100,Electrónica,TechBrand
Producto_74,Tecnología,TechBrand
Producto_93,Hogar,UrbanStyle
Producto_45,Ropa,FitLife
Producto_39,Ropa,NextGen
Producto_55,Tecnología,NextGen
Producto_43,Electrónica,Omega
Producto_58,Electrónica,TechBrand
Producto_6,Tecnología,Omega
Producto_91,Hogar,Omega
Producto_36,Deportes,Nova
Producto_8,Ropa,Nova
Producto_35,Deportes,FitLife
Producto_27,Muebles,ComfortPlus
Producto_47,Accesorios,HomePro
Producto_15,Deportes,FitLife
Producto_37,Ropa,HomePro
Producto_27,Muebles,ComfortPlus
Producto_42,Hogar,FitLife
Producto_63,Muebles,HomePro
Producto_4,Muebles,NextGen
Producto_11,Ropa,Alpha
Producto_78,Hogar,HomePro
Producto_25,Electrónica,Nova
Producto_17,Hogar,FitLife
Producto_69,Tecnología,Omega
Producto_66,Tecnología,Alpha
Producto_31,Deportes,HomePro
Producto_34,Deportes,NextGen
Producto_58,Electrónica,TechBrand
Producto_92,Tecnología,Nova
Producto_100,Electrónica,TechBrand
Producto_15,Deportes,FitLife
Producto_4,Muebles,NextGen
Producto_82,Ropa,ComfortPlus
Producto_24,Deportes,HomePro
Producto_74,Tecnología,TechBrand
Producto_88,Tecnología,FitLife
Producto_95,Tecnología,Nova
Producto_52,Tecnología,Omega
Producto_8,Ropa,Nova
Producto_13,Ropa,NextGen
Producto_66,Tecnología,Alpha
Producto_84,Ropa,Alpha
Producto_47,Accesorios,HomePro
Producto_42,Hogar,FitLife
Producto_4,Muebles,NextGen
Producto_50,Accesorios,HomePro
Producto_8,Ropa,Nova
Producto_68,Accesorios,UrbanStyle
Producto_70,Tecnología,NextGen
Producto_56,Hogar,Nova
Producto_23,Accesorios,Nova
Producto_45,Ropa,FitLife
Producto_19,Accesorios,NextGen
Producto_71,Hogar,ComfortPlus
Producto_88,Tecnología,FitLife
Producto_65,Muebles,Alpha
Producto_92,Tecnología,Nova
Producto_62,Tecnología,HomePro
Producto_70,Tecnología,NextGen
Producto_47,Accesorios,HomePro
Producto_29,Hogar,NextGen
Producto_65,Muebles,Alpha
Producto_58,Electrónica,TechBrand
Producto_4,Muebles,NextGen
Producto_97,Electrónica,NextGen
Producto_62,Tecnología,HomePro
Producto_51,Ropa,HomePro
Producto_81,Muebles,FitLife
Producto_75,Accesorios,UrbanStyle
Producto_54,Ropa,HomePro
Producto_6,Tecnología,Omega
Producto_80,Tecnología,Nova
Producto_21,Hogar,ComfortPlus
Producto_9,Accesorios,UrbanStyle
Producto_82,Ropa,ComfortPlus
Producto_71,Hogar,ComfortPlus
Producto_66,Tecnología,Alpha
Producto_28,Tecnología,UrbanStyle
Producto_17,Hogar,FitLife
Producto_83,Hogar,Alpha
Producto_14,Electrónica,Nova
Producto_20,Hogar,Omega
Producto_61,Electrónica,NextGen
Producto_17,Hogar,FitLife
Producto_31,Deportes,HomePro
Producto_74,Tecnología,TechBrand
Producto_96,Muebles,Alpha
Producto_16,Accesorios,FitLife
Producto_17,Hogar,FitLife
Producto_10,Accesorios,TechBrand
Producto_49,Deportes,HomePro
Producto_64,Tecnología,Alpha
Producto_92,Tecnología,Nova
Producto_43,Electrónica,Omega
Producto_54,Ropa,HomePro
Producto_25,Electrónica,Nova
Producto_34,Deportes,NextGen
Producto_44,Accesorios,Nova
Producto_63,Muebles,HomePro
